<ticker>,<MSSV>,<exchange>,<PTTKHT>,<LTTQ>,<ATBMTT>,<MMT>,<PTTKTT>,<HDH>,<LTM>
1,2001110023,T,6.3,9.5,6.6,6,7.1,7.4,0
2,2001110027,T,5,7.5,4.5,2.6,5.9,6,0
3,2001110031,T,6,8.5,6.8,6,6.4,7,0
4,2001110035,T,7.3,10,7.9,6.2,6.8,7.3,0
5,2001110038,T,6,9.5,5.5,5.1,5.8,6.7,0
6,2001110040,T,6.3,8,5.9,5.4,6.5,6.3,0
7,2001110041,T,6.6,9.5,7.1,5,6.8,7.7,0
8,2001110047,T,6.4,9.8,2.7,5.6,6,6.7,0
9,2001110048,T,8.5,10,6.7,7.9,7.7,7.7,0
10,2001110052,T,4.8,8.5,5.4,3.1,4.4,5.2,0
11,2001110052,T,4.8,8.5,5.4,3.1,4.4,5.2,0
12,2001110055,T,5.1,7.5,5.5,4.3,6.2,6.6,0
13,2001110058,T,6.9,9.5,7.3,4.7,7.3,7.4,0
14,2001110060,T,5.5,7.5,5.2,4.5,6.9,7.4,0
15,2001110064,T,6.1,10,6.6,5.2,6.6,6.4,0
16,2001110070,T,8.1,8.5,8.1,7.5,7.8,6.2,0
17,2001110072,T,4.1,7.5,6.3,4.8,6.3,7.3,0
18,2001110073,T,6.6,9,8.8,6.9,8.1,7.3,0
19,2001110074,T,6.6,9.5,4.2,5.3,6.4,5.9,0
20,2001110075,T,7.4,9.5,6.8,5.9,7,7.1,0
21,2001110076,T,6.2,8.5,7.7,6.1,7,7.1,0
22,2001110079,T,6.3,9,6,5.3,6.2,6.8,0
23,2001110092,T,7.5,9,7.1,5.7,5.7,7.2,0
24,2001110094,T,6.5,9.5,6.3,5.7,5,7,0
25,2001110095,T,7.2,9.5,8.2,5.6,6.5,7.5,0
26,2001110099,T,5.3,8.8,8.4,5.3,5,5.7,0
27,2001110102,T,6.7,9,7,7,6.5,7.2,0
28,2001110106,T,8.6,9.8,7.4,5.5,6,7.3,0
29,2001110108,T,6.1,9.5,7.4,5.2,6,7,0
30,2001110111,T,6,8.5,5.8,5.5,6.6,7.2,0
31,2001110112,T,6.9,9.8,7.5,6.6,6.9,7.9,0
32,2001110121,T,6.4,7,10,5.7,6.4,6.9,0
33,2001110128,T,4.9,8.5,6.5,3.6,5.6,7.4,0
34,2001110133,T,5.3,8.5,6.7,4.9,5.5,6.6,0
35,2001110136,T,6.7,9,7.2,5.3,7.1,6.8,0
36,2001110142,T,5.2,9,6.8,4.2,7.2,5.7,0
37,2001110149,T,5.3,9.5,7.2,5.4,5.3,6.6,0
38,2001110154,T,6.2,7,7.2,6,6.8,6.7,0
39,2001110156,T,5.6,8,6.7,4.5,6.8,5.5,0
40,2001110157,T,4.9,9,3.9,4.9,5.7,7.3,0
41,2001130001,T,5.2,0,5.5,4.3,5.8,7.4,0
42,2001130007,T,7.1,7.2,6.7,0,7.4,7.5,0
43,2001130018,T,7.8,7.8,6.1,0,7,7.7,0
44,2001130020,T,6.4,8.6,6.1,5.1,6.3,6.9,0
45,2001130025,T,8.4,8.6,7,5.4,6.2,6.6,0
46,2001130039,T,6.8,7.2,0,4.2,6,7.4,0
47,2001130046,T,5.5,9.6,5.7,5.2,5.6,6.7,0
48,2001130068,T,6.5,8,6.5,5.1,7.4,7.7,0
49,2001130170,T,4.7,0,4.9,0,4.5,6.1,0
50,2001130174,T,7.6,7.6,7.7,5.3,7.9,8.3,0
51,2001130075,T,5.1,7.4,6,4.5,6.3,7.1,0
52,2001130080,T,4.4,8.2,6.2,4.8,5.8,5.6,0
53,2001130084,T,4.7,4.6,0,0,0,5.2,0
54,2001130088,T,7.3,8.7,5.9,4.9,5.4,6.7,0
55,2001130095,T,7.9,6.5,6.7,5.1,6.5,7,0
56,2001130099,T,6.9,7,6.3,5.8,7.2,6.9,0
57,2001130101,T,6,7.4,5.3,4.6,5.8,7.1,0
58,2001130187,T,7.1,7,5.7,5.6,5.2,6.5,0
59,2001130205,T,7.2,8.2,6.2,5.7,7.8,8,0
60,3005020001,T,4.9,6.8,6,7.7,5.8,6.3,0
61,3005020002,T,5.7,5.3,6,6.3,5.9,6.5,0
62,3005020003,T,6.3,7.8,6,6.1,5.7,6.1,0
63,3005020004,T,6.2,7.8,6,6.9,6,6.4,0
64,3005020005,T,6.7,7.3,6.9,8,7,6.9,0
65,3005020006,T,5.8,8.5,6.3,7.6,6.7,6.6,0
66,3005020007,T,5.6,9.2,6.3,8.1,7.4,6.4,0
67,3005020009,T,4.1,6.2,5.9,6.7,5.7,6.2,0
68,3005020010,T,5.2,8.8,7.2,8.9,8.5,7.8,0
69,3005020011,T,7.9,7.1,6.5,7.3,6.7,7.1,0
70,3005020013,T,6.5,7.8,6.8,7.8,7.2,6.8,0
71,3005020014,T,5.6,8,5.8,6.4,6.5,6.2,0
72,3005020015,T,5.7,6.8,6.4,6.6,7.6,7.1,0
73,3005020017,T,5.5,5.7,6.5,7.3,6,6.6,0
74,3005020018,T,6.7,6.5,6.2,6.9,6.7,7.4,0
